Time: 0:15	Keystrokes:    39	Incorrects:    18	WPM: 16	Accuracy: 53%
Time: 0:06	Keystrokes:    20	Incorrects:    7	WPM: 40	Accuracy: 65%
Time: 0:05	Keystrokes:    21	Incorrects:    0	WPM: 48	Accuracy: 100%
Time: 0:04	Keystrokes:    24	Incorrects:    3	WPM: 60	Accuracy: 87%
Time: 0:00	Keystrokes:    0	Incorrects:    0	WPM: 120	Accuracy: 100%
Time: 00:00	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 00:00	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 00:00	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 00:00	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
Time: 00:00	Keystrokes:    0	Incorrects:    0	WPM: 0	Accuracy: 0%
